Biomarker/Risk factor 	Source of Code list	Reviewed by CPRD team (date)	Signed off by CPRD team	Data extraction made (date)	Data transfer (date)	Notes	Biomarker (values on continous scale)	Mostly commonly used measurement units	Lower biological plausible limit	Upper biological plausible limit	Source of plausible limits (literature (SS), clinician, Scoping review (CH), internet)	Evidence for plausible limits
Protein S	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					IU/dL	removed	removed		There is no upper limit. More is better. https://medlineplus.gov/lab-tests/protein-c-and-protein-s-tests/#:~:text=Higher%20than%20normal%20levels%20of,abnormal%20your%20test%20results%20are. 
Random blood sugar (RBS)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mg/dl	0	50	Literature (SS)	
Red blood cell count (RBC)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						2.5	7.5		From previous tasks sheet
Red blood cell distribution width (RDW)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						9	15		From previous tasks sheet
Ejection Fraction	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					%	0	100		https://www.mayoclinic.org/tests-procedures/ekg/expert-answers/ejection-fraction/faq-20058286#:~:text=According%20to%20the%20American%20Heart,is%20usually%2040%25%20or%20less.
Rheumatoid factor (RhF)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					IU/ml	0	5000	Literature (SS)	SS: maximum value the testing kits allow to report. 
Serum Iron	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	500		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10594145/
Serum Potassium	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mmol/L	0	14	Literature (SS)	https://acutecaretesting.org/en/journal-scans/a-record-breaking-serum-potassium-concentration
Serum Sodium	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mmol/L	0	200	Literature (SS)	
Serum/plasma urea	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mg/dl	0	100	Literature (SS)	https://www.amjmedsci.org/article/S0002-9629(15)34356-1/abstract
Standing height	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					CM	54	272		Use guiness book of records
Systolic blood pressure (SBP)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mmHg	80	250	Literature (SS)	
Thyroid Stimulating Hormone	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mU/L	0	20	Literature (SS)	
Total Iron Binding Capacity 	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	300		normal range- 0-400
Serum Protein	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					g/L	0	200		We had g/L (0 -200) for total protein. Check if still applicable here.
Urea in urine 	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mmol/L	0	3000	Literature (SS)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4758351/
Urine albumin to creatinine ratio (ACR)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mg/mmol	1	5000		https://journals.sagepub.com/doi/pdf/10.1258/acb.2009.009001
Urine Protein	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					g/L	0	200		We had g/L (0 -200) for total protein. Check if still applicable here.
Vitamin D (D2/D3/Combined/Total?) - lump	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					ng/mL	1	300		normal range- 0-100; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5045493/#:~:text=However%2C%20in%20general%2C%20serum%20total,D3%20concentrations%20are%20normal.
White blood cell count (WBC)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	850		From previous tasks sheet
